GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;48;56;43;51;54;ELECTRIC ENGINEERING;15;47;36;61;35;117;137;34;2;2;4;3
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;48;44;47;61;48;INDUSTRIAL ENGINEERING;46;61;76;75;66;158;161;73;4;3;2;3
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;52;56;52;53;ELECTRIC ENGINEERING AND TELECOMMUNICATIONS;98;62;40;28;62;158;157;67;4;3;2;3
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;62;56;55;43;INDUSTRIAL ENGINEERING;98;100;78;74;93;174;195;98;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;62;76;78;92;MECHANICAL ENGINEERING;100;92;99;100;7;227;194;98;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;53;57;70;62;INDUSTRIAL ENGINEERING;77;82;80;81;43;178;169;82;5;4;3;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;58;60;45;58;75;INDUSTRIAL ENGINEERING;98;15;5;89;76;147;155;64;4;3;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;71;66;70;76;INDUSTRIAL ENGINEERING;97;88;79;98;71;131;187;95;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;61;60;61;60;54;INDUSTRIAL ENGINEERING;79;84;78;82;79;157;176;88;5;4;2;2
M;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;76;71;74;91;78;MECHANICAL ENGINEERING;98;98;79;95;23;106;185;94;5;4;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;56;59;61;54;INDUSTRIAL ENGINEERING;26;9;53;62;88;114;144;47;3;2;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;62;61;78;82;MECHANICAL ENGINEERING;95;61;89;97;46;157;179;90;5;4;4;4
F;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;60;60;61;71;62;CIVIL ENGINEERING;70;79;89;88;58;203;174;86;5;4;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;50;58;52;52;75;INDUSTRIAL ENGINEERING;60;77;45;74;89;153;165;77;4;4;4;3
F;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;44;54;56;55;40;INDUSTRIAL ENGINEERING;31;67;50;65;12;146;143;44;3;2;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;69;67;56;68;64;MECHANICAL ENGINEERING;96;93;87;92;31;205;182;92;5;4;4;3
