GENDER;INTERNET;TV;COMPUTER;WASHING_MCH;MIC_OVEN;CAR;DVD;FRESH;PHONE;MOBILE;SCHOOL_NAT;SCHOOL_TYPE;MAT_S11;CR_S11;CC_S11;BIO_S11;ENG_S11;ACADEMIC_PROGRAM;QR_PRO;CR_PRO;CC_PRO;ENG_PRO;WC_PRO;FEP_PRO;G_SC;PERCENTILE;2ND_DECILE;QUARTILE;SEL;SEL_IHE
M;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;62;54;57;73;55;CIVIL ENGINEERING;56;26;55;34;5;171;133;28;2;2;2;2
F;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;53;58;48;54;42;CIVIL ENGINEERING;26;12;6;23;83;140;127;20;2;1;2;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;80;62;62;67;59;CHEMICAL ENGINEERING;99;87;84;68;79;191;181;92;5;4;3;2
M;No;Yes;No;No;No;Yes;Yes;No;Yes;No;PUBLIC;TECHNICAL;54;55;55;48;52;INDUSTRIAL ENGINEERING;52;46;75;58;34;121;150;57;3;3;1;2
M;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PUBLIC;TECHNICAL;71;70;61;77;65;MECHANICAL ENGINEERING;69;57;55;84;15;180;154;62;4;3;1;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;57;66;62;56;80;CIVIL ENGINEERING;92;95;4;96;17;180;161;73;4;3;2;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;58;79;76;69;67;CHEMICAL ENGINEERING;75;98;54;78;100;166;200;99;5;4;1;2
F;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;77;87;64;79;76;CHEMICAL ENGINEERING;90;60;99;87;91;143;187;95;5;4;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;58;56;53;61;41;INDUSTRIAL ENGINEERING;88;71;35;57;8;157;148;53;3;3;2;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;50;59;55;50;48;INDUSTRIAL ENGINEERING;13;71;66;33;52;171;144;46;3;2;2;2
M;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;56;62;53;50;43;INDUSTRIAL ENGINEERING;56;92;91;49;2;159;153;61;4;3;3;2
F;Yes;No;Yes;No;No;No;No;Yes;No;Yes;PUBLIC;TECHNICAL/ACADEMIC;56;59;58;51;49;INDUSTRIAL ENGINEERING;74;49;18;34;11;147;135;32;2;2;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;52;45;56;48;54;INDUSTRIAL ENGINEERING;65;50;63;22;11;148;140;41;3;2;4;2
F;Yes;No;No;Yes;No;No;No;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;52;62;59;71;65;CHEMICAL ENGINEERING;83;71;56;72;34;170;160;71;4;3;1;2
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;56;51;61;55;43;INDUSTRIAL ENGINEERING;65;61;54;49;74;144;156;65;4;3;4;2
M;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;47;36;42;43;31;INDUSTRIAL ENGINEERING;27;1;11;9;2;70;98;2;1;1;2;2
M;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;47;46;42;51;40;MECHATRONICS ENGINEERING;45;12;40;32;49;157;134;30;2;2;2;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;57;60;59;55;80;INDUSTRIAL ENGINEERING;88;86;95;93;40;159;181;92;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;46;41;40;38;46;INDUSTRIAL ENGINEERING;38;48;8;4;55;106;126;19;1;1;4;2
M;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;47;64;66;61;52;INDUSTRIAL ENGINEERING;86;44;59;58;72;159;159;70;4;3;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;72;64;66;69;80;INDUSTRIAL ENGINEERING;94;62;70;93;9;159;165;77;4;4;4;2
M;No;No;No;No;No;No;No;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;51;54;42;48;48;INDUSTRIAL ENGINEERING;5;2;21;28;10;94;108;4;1;1;1;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;51;53;56;51;46;INDUSTRIAL ENGINEERING;50;27;26;68;34;162;139;39;2;2;2;2
M;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;PUBLIC;TECHNICAL/ACADEMIC;75;64;60;67;65;CIVIL ENGINEERING;99;83;91;85;47;47;182;92;5;4;2;4
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;70;52;53;66;71;CIVIL ENGINEERING;91;54;59;78;29;29;160;71;4;3;2;4
M;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PUBLIC;ACADEMIC;71;64;83;62;62;CIVIL ENGINEERING;100;85;99;54;24;99;179;90;5;4;1;2
M;Yes;No;Yes;No;No;No;Yes;No;Yes;No;PRIVATE;ACADEMIC;67;59;62;59;64;ELECTRONIC ENGINEERING;90;76;80;81;54;54;172;84;5;4;1;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;58;41;53;58;68;CIVIL ENGINEERING;80;66;96;74;86;86;177;89;5;4;3;4
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;66;70;66;61;64;MECHANICAL ENGINEERING;87;92;69;65;53;172;169;81;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;58;60;64;65;59;INDUSTRIAL ENGINEERING;85;26;6;73;17;156;138;37;2;2;3;4
F;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;61;64;64;56;59;INDUSTRIAL ENGINEERING;64;64;60;75;87;60;165;77;4;4;1;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;78;100;83;81;78;ELECTRONIC ENGINEERING;94;96;95;94;6;234;179;90;5;4;4;2
F;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;46;62;53;51;60;CHEMICAL ENGINEERING;34;46;14;82;67;153;145;49;3;2;2;4
F;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;70;59;61;71;71;INDUSTRIAL ENGINEERING;90;31;31;87;84;169;162;74;4;3;2;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;66;70;77;72;62;CHEMICAL ENGINEERING;93;94;85;95;39;208;183;93;5;4;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;59;56;43;61;59;INDUSTRIAL ENGINEERING;81;43;25;77;22;132;148;53;3;3;4;4
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;53;50;52;53;57;CIVIL ENGINEERING;59;59;66;48;20;162;148;54;3;3;3;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;64;53;58;59;50;MECHANICAL ENGINEERING;94;27;54;29;41;158;148;54;3;3;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;73;74;64;75;60;ELECTRIC ENGINEERING;78;57;32;75;92;32;163;75;4;4;4;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;57;67;74;61;57;CIVIL ENGINEERING;79;47;11;56;19;19;140;39;2;2;3;4
M;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;PUBLIC;ACADEMIC;69;62;66;64;76;TOPOGRAPHIC ENGINEERY;96;94;99;97;59;99;194;97;5;4;2;2
M;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;PUBLIC;ACADEMIC;55;48;49;58;43;ELECTROMECHANICAL ENGINEERING;9;8;3;3;57;87;109;5;1;1;1;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;64;60;45;61;58;INDUSTRIAL ENGINEERING;88;88;22;55;76;76;162;73;4;3;2;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;56;59;61;82;INDUSTRIAL ENGINEERING;87;45;73;98;99;148;183;93;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;79;66;69;77;65;CHEMICAL ENGINEERING;93;73;91;49;5;152;159;70;4;3;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;66;57;64;68;75;ELECTRONIC ENGINEERING;89;66;74;95;38;161;172;85;5;4;4;4
M;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;60;59;53;59;53;INDUSTRIAL ENGINEERING;73;57;63;56;54;147;156;65;4;3;4;4
F;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;57;64;59;49;INDUSTRIAL ENGINEERING;77;72;64;61;5;166;151;58;3;3;2;4
M;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;PUBLIC;ACADEMIC;51;44;45;50;39;INDUSTRIAL ENGINEERING;29;27;48;25;31;160;133;28;2;2;2;1
M;Yes;No;Yes;No;Yes;No;Yes;Yes;No;Yes;PRIVATE;ACADEMIC;93;67;77;79;64;ELECTRONIC ENGINEERING;89;88;95;77;24;189;174;87;5;4;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;72;71;75;59;ELECTRIC ENGINEERING;77;64;62;56;70;70;161;72;4;3;3;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;60;53;46;52;50;INDUSTRIAL ENGINEERING;71;73;37;22;75;117;152;60;4;3;3;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;67;62;81;67;ELECTRIC ENGINEERING;98;100;95;89;55;165;193;97;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;57;67;66;55;75;INDUSTRIAL ENGINEERING;88;61;90;89;68;164;177;88;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;57;60;58;65;62;CIVIL ENGINEERING;88;55;6;72;51;126;148;53;3;3;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;58;64;62;67;78;ELECTRIC ENGINEERING;98;85;94;85;73;94;187;95;5;4;2;2
M;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;PRIVATE;ACADEMIC;50;52;53;58;48;INDUSTRIAL ENGINEERING;67;75;57;47;72;165;159;69;4;3;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;54;60;62;58;62;CIVIL ENGINEERING;91;68;90;78;42;42;171;83;5;4;2;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;73;60;63;64;60;ELECTRONIC ENGINEERING;100;80;81;90;7;81;174;87;5;4;4;2
M;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;77;74;69;70;58;ELECTRONIC ENGINEERING;99;76;85;69;33;85;173;86;5;4;2;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;70;62;69;77;58;INDUSTRIAL ENGINEERING;100;31;28;57;78;155;159;70;4;3;2;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;50;62;66;65;60;CHEMICAL ENGINEERING;83;46;83;90;81;151;174;86;5;4;4;4
F;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;52;62;59;62;57;INDUSTRIAL ENGINEERING;90;45;94;93;99;147;188;95;5;4;4;4
F;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;57;50;58;48;52;CATASTRAL ENGINEERING AND GEODESY;58;52;27;59;57;27;146;50;3;3;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;54;57;53;51;46;CIVIL ENGINEERING;43;61;32;15;88;147;146;50;3;3;2;2
F;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL/ACADEMIC;55;64;64;60;64;INDUSTRIAL ENGINEERING;83;43;74;74;71;120;164;77;4;4;1;2
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;64;64;66;64;INDUSTRIAL ENGINEERING;71;71;70;67;67;177;164;76;4;4;2;2
M;No;No;Yes;Yes;No;No;No;Yes;Yes;No;PRIVATE;ACADEMIC;54;55;55;59;54;INDUSTRIAL ENGINEERING;64;50;56;68;52;126;154;62;4;3;2;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;88;100;82;92;76;ELECTRIC ENGINEERING;99;97;97;93;96;96;203;99;5;4;4;4
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;93;74;71;79;70;ELECTRONIC ENGINEERING;88;76;83;78;0;83;142;43;3;2;4;2
F;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;74;74;86;85;CHEMICAL ENGINEERING;98;96;93;89;100;178;219;100;5;4;4;2
M;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;68;56;55;65;55;CHEMICAL ENGINEERING;77;12;4;63;51;63;134;31;2;2;4;3
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;64;72;69;65;71;INDUSTRIAL ENGINEERING;72;92;10;90;92;92;169;82;5;4;3;4
M;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;PRIVATE;ACADEMIC;66;49;51;53;43;CIVIL ENGINEERING;88;35;60;46;27;171;150;56;3;3;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;61;60;60;61;50;INDUSTRIAL ENGINEERING;50;42;68;70;31;185;150;56;3;3;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;PRIVATE;ACADEMIC;60;68;64;58;76;ELECTROMECHANICAL ENGINEERING;90;72;83;86;33;165;171;84;5;4;2;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;66;67;66;64;62;TOPOGRAPHIC ENGINEERY;100;72;95;79;20;95;177;89;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;55;46;42;44;48;CIVIL ENGINEERING;71;46;45;16;94;156;153;61;4;3;2;2
F;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;57;62;55;50;48;CIVIL ENGINEERING;76;19;52;43;27;136;142;43;3;2;2;2
F;No;No;Yes;No;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;56;54;51;58;50;INDUSTRIAL ENGINEERING;63;30;27;58;91;180;150;57;3;3;1;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;59;56;62;55;42;INDUSTRIAL ENGINEERING;30;36;56;53;45;156;141;42;3;2;2;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;57;64;65;52;58;INDUSTRIAL ENGINEERING;77;82;79;48;50;183;162;74;4;3;3;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;61;57;58;65;49;INDUSTRIAL ENGINEERING;88;10;78;82;44;180;157;67;4;3;4;4
M;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;PRIVATE;TECHNICAL;62;60;53;62;49;MECHANICAL ENGINEERING;69;44;14;83;5;187;139;38;2;2;2;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;62;62;55;64;73;ELECTRIC ENGINEERING;91;52;94;82;90;146;180;91;5;4;4;2
M;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;TECHNICAL;39;50;50;53;55;CIVIL ENGINEERING;89;21;5;63;96;131;151;58;3;3;4;2
M;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;TECHNICAL;45;47;49;52;57;ELECTRONIC ENGINEERING;43;2;62;75;16;130;135;32;2;2;2;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;Yes;PRIVATE;TECHNICAL;70;62;61;65;57;CHEMICAL ENGINEERING;93;59;78;68;55;166;166;79;4;4;2;2
M;Yes;Yes;No;No;No;No;No;Yes;Yes;No;PRIVATE;TECHNICAL;76;74;68;71;70;ELECTRONIC ENGINEERING;99;92;91;93;66;199;191;96;5;4;2;2
M;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;59;58;50;46;CIVIL ENGINEERING;82;70;62;57;0;150;130;24;2;1;2;2
M;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;75;68;66;75;57;INDUSTRIAL ENGINEERING;90;99;100;90;85;100;199;99;5;4;3;2
F;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;38;43;45;40;49;INDUSTRIAL ENGINEERING;34;17;57;27;56;133;136;34;2;2;1;2
M;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;PUBLIC;ACADEMIC;50;52;50;43;55;AERONAUTICAL ENGINEERING;88;42;12;50;36;110;143;45;3;2;3;2
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;59;56;58;63;CHEMICAL ENGINEERING;76;92;93;88;15;88;173;86;5;4;4;3
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;67;71;59;63;55;CIVIL ENGINEERING;76;78;88;66;40;40;165;78;4;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;80;70;64;74;76;CHEMICAL ENGINEERING;100;93;77;80;60;161;183;93;5;4;2;2
M;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;64;58;69;58;67;CHEMICAL ENGINEERING;83;75;100;84;65;184;182;92;5;4;4;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;44;52;52;53;53;MECHANICAL ENGINEERING;29;16;25;36;31;113;127;20;2;1;2;2
M;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;69;64;65;67;78;ELECTRONIC ENGINEERING;97;69;33;94;80;144;174;86;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;70;74;71;75;64;CHEMICAL ENGINEERING;91;75;93;78;3;187;164;76;4;4;2;4
F;No;No;Yes;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;56;67;69;71;73;INDUSTRIAL ENGINEERING;78;93;64;81;37;176;168;81;5;4;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;47;54;59;63;50;CIVIL ENGINEERING;95;50;80;41;72;72;165;77;4;4;4;4
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;49;60;64;53;53;CHEMICAL ENGINEERING;70;52;24;56;35;129;144;47;3;2;2;4
F;No;No;No;Yes;Yes;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;55;62;64;55;55;INDUSTRIAL ENGINEERING;70;87;69;55;94;163;171;84;5;4;4;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;57;56;52;53;48;INDUSTRIAL ENGINEERING;90;49;1;80;96;177;156;65;4;3;2;2
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;48;62;49;51;53;INDUSTRIAL ENGINEERING;60;25;67;47;91;156;155;64;4;3;1;2
F;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;50;56;51;61;52;CIVIL ENGINEERING;47;45;90;51;93;93;163;75;4;4;2;3
F;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;52;53;55;54;55;INDUSTRIAL ENGINEERING;21;29;56;46;87;120;145;48;3;2;4;4
F;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;PRIVATE;ACADEMIC;66;62;69;64;70;INDUSTRIAL ENGINEERING;85;83;42;86;22;129;162;74;4;3;3;4
M;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;76;72;74;83;85;CHEMICAL ENGINEERING;100;100;99;94;33;186;201;99;5;4;2;2
M;No;No;No;No;No;No;Yes;Yes;Yes;Yes;PUBLIC;TECHNICAL/ACADEMIC;74;72;71;85;78;ELECTRONIC ENGINEERING;99;89;95;89;86;95;194;97;5;4;2;2
F;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;PUBLIC;TECHNICAL/ACADEMIC;59;53;60;54;50;INDUSTRIAL ENGINEERING;90;55;39;42;3;150;141;42;3;2;2;2
F;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;PUBLIC;TECHNICAL/ACADEMIC;64;64;81;56;70;ELECTRONIC ENGINEERING;79;83;71;88;61;71;173;86;5;4;4;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;74;70;66;83;58;CATASTRAL ENGINEERING AND GEODESY;100;96;77;72;40;77;181;92;5;4;2;2
F;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;PRIVATE;ACADEMIC;51;58;51;53;53;INDUSTRIAL ENGINEERING;52;58;64;8;13;127;138;36;2;2;1;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;62;69;68;68;INDUSTRIAL ENGINEERING;91;56;81;89;12;201;165;77;4;4;2;4
M;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;62;70;66;72;76;CHEMICAL ENGINEERING;94;91;70;93;31;93;176;88;5;4;4;3
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;51;49;53;43;39;CIVIL ENGINEERING;29;28;23;19;42;156;128;21;2;1;4;2
M;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;47;29;0;56;49;INDUSTRIAL ENGINEERING;42;30;13;58;6;146;127;20;2;1;2;2
M;No;No;No;No;No;No;Yes;No;Yes;No;PUBLIC;ACADEMIC;64;64;66;70;53;TOPOGRAPHIC ENGINEERY;97;78;72;49;38;72;165;77;4;4;1;2
F;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;50;51;52;52;42;INDUSTRIAL ENGINEERING;55;14;36;34;55;131;137;34;2;2;2;2
M;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;66;64;76;86;65;INDUSTRIAL ENGINEERING;93;80;64;91;80;64;179;90;5;4;2;2
M;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;58;56;52;57;48;CHEMICAL ENGINEERING;100;89;38;64;88;64;176;88;5;4;2;3
F;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;83;62;66;71;65;CIVIL ENGINEERING;99;86;79;63;0;151;145;49;3;2;1;2
M;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;No;PUBLIC;ACADEMIC;64;62;57;65;54;CIVIL ENGINEERING;23;20;37;51;5;131;125;17;1;1;2;2
M;No;Yes;Yes;Yes;No;No;No;Yes;Yes;No;PUBLIC;ACADEMIC;67;68;68;68;68;INDUSTRIAL ENGINEERING;95;80;82;90;40;190;177;88;5;4;2;1
M;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;PUBLIC;ACADEMIC;44;51;48;45;55;INDUSTRIAL ENGINEERING;31;2;1;1;72;116;77;1;1;1;2;2
M;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;PRIVATE;ACADEMIC;65;68;61;73;62;INDUSTRIAL ENGINEERING;97;94;93;75;18;179;177;89;5;4;4;2
F;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;92;67;69;77;76;CIVIL ENGINEERING;94;75;91;91;21;184;176;88;5;4;4;2
M;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;PRIVATE;ACADEMIC;56;59;62;53;49;CIVIL ENGINEERING;63;36;35;29;94;119;150;56;3;3;2;3
F;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;67;74;75;82;CHEMICAL ENGINEERING;97;69;76;95;75;200;182;92;5;4;3;2
M;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;PRIVATE;ACADEMIC;71;57;69;73;64;MECHANICAL ENGINEERING;81;88;77;70;95;147;179;90;5;4;4;4
